name,family,n_customers,capacity,split,source_kind,source_url,local_path
B-n35-k5,B,34,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n35-k5.vrp
B-n38-k6,B,37,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n38-k6.vrp
B-n39-k5,B,38,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n39-k5.vrp
B-n41-k6,B,40,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n41-k6.vrp
B-n43-k6,B,42,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n43-k6.vrp
B-n44-k7,B,43,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n44-k7.vrp
B-n45-k5,B,44,100.0,test,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n45-k5.vrp
B-n45-k6,B,44,100.0,val,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n45-k6.vrp
B-n50-k7,B,49,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n50-k7.vrp
B-n50-k8,B,49,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n50-k8.vrp
B-n51-k7,B,50,100.0,test,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n51-k7.vrp
B-n52-k7,B,51,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n52-k7.vrp
B-n56-k7,B,55,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n56-k7.vrp
B-n57-k7,B,56,100.0,test,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n57-k7.vrp
B-n57-k9,B,56,100.0,val,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n57-k9.vrp
B-n63-k10,B,62,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n63-k10.vrp
B-n64-k9,B,63,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n64-k9.vrp
B-n66-k9,B,65,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n66-k9.vrp
B-n67-k10,B,66,100.0,val,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n67-k10.vrp
B-n68-k9,B,67,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n68-k9.vrp
B-n78-k10,B,77,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n78-k10.vrp
P-n40-k5,P,39,140.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/82,D:\HGAT-POMO\datasets\cvrplib\P-n40-k5.vrp
P-n45-k5,P,44,150.0,val,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/83,D:\HGAT-POMO\datasets\cvrplib\P-n45-k5.vrp
P-n50-k10,P,49,100.0,test,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/86,D:\HGAT-POMO\datasets\cvrplib\P-n50-k10.vrp
P-n50-k7,P,49,150.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/84,D:\HGAT-POMO\datasets\cvrplib\P-n50-k7.vrp
P-n50-k8,P,49,120.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/85,D:\HGAT-POMO\datasets\cvrplib\P-n50-k8.vrp
P-n51-k10,P,50,80.0,test,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/87,D:\HGAT-POMO\datasets\cvrplib\P-n51-k10.vrp
P-n55-k10,P,54,115.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/90,D:\HGAT-POMO\datasets\cvrplib\P-n55-k10.vrp
P-n55-k15,P,54,70.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/91,D:\HGAT-POMO\datasets\cvrplib\P-n55-k15.vrp
P-n55-k7,P,54,170.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/88,D:\HGAT-POMO\datasets\cvrplib\P-n55-k7.vrp
P-n55-k8,P,54,160.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/89,D:\HGAT-POMO\datasets\cvrplib\P-n55-k8.vrp
P-n60-k10,P,59,120.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/92,D:\HGAT-POMO\datasets\cvrplib\P-n60-k10.vrp
P-n60-k15,P,59,80.0,val,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/93,D:\HGAT-POMO\datasets\cvrplib\P-n60-k15.vrp
P-n65-k10,P,64,130.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/94,D:\HGAT-POMO\datasets\cvrplib\P-n65-k10.vrp
P-n70-k10,P,69,135.0,val,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/95,D:\HGAT-POMO\datasets\cvrplib\P-n70-k10.vrp
P-n76-k4,P,75,350.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/96,D:\HGAT-POMO\datasets\cvrplib\P-n76-k4.vrp
P-n76-k5,P,75,280.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/97,D:\HGAT-POMO\datasets\cvrplib\P-n76-k5.vrp
P-n101-k4,P,100,400.0,train,official,https://galgos.inf.puc-rio.br/cvrplib/index.php/en/download/instance/98,D:\HGAT-POMO\datasets\cvrplib\P-n101-k4.vrp
